Fri Dec  9 10:54:53 2022    concur

         1072955 function calls (1047034 primitive calls) in 37.555 seconds

   Ordered by: cumulative time, internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       48    0.004    0.000    0.119    0.002 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\axis.py:1040(_update_ticks)
       44    0.000    0.000    0.118    0.003 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\axis.py:2052(_get_tick)
       44    0.001    0.000    0.117    0.003 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\axis.py:414(__init__)
        1    0.000    0.000    0.115    0.115 C:\Users\anony\AppData\Local\Programs\Python\Python39\lib\subprocess.py:1065(_stdin_write)
        4    0.115    0.029    0.115    0.029 {method 'write' of '_io.BufferedWriter' objects}
        1    0.000    0.000    0.111    0.111 C:\Users\anony\Balaba\statistics.py:390(generate_exel)
       12    0.000    0.000    0.107    0.009 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\axis.py:2342(_update_label_position)
      104    0.005    0.000    0.105    0.001 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\axes\_base.py:2363(_update_patch_limits)
        1    0.000    0.000    0.105    0.105 C:\Users\anony\AppData\Local\Programs\Python\Python39\lib\subprocess.py:756(__init__)
      252    0.003    0.000    0.105    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\patches.py:600(draw)
        1    0.000    0.000    0.104    0.104 C:\Users\anony\AppData\Local\Programs\Python\Python39\lib\subprocess.py:1334(_execute_child)
       42    0.000    0.000    0.103    0.002 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\axis.py:2320(_get_tick)
       42    0.001    0.000    0.103    0.002 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\axis.py:475(__init__)
      681    0.003    0.000    0.101    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\backends\backend_agg.py:299(_get_agg_font)
      745    0.006    0.000    0.099    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\font_manager.py:1248(findfont)
        4    0.001    0.000    0.099    0.025 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\axes\_base.py:1182(cla)
        2    0.000    0.000    0.098    0.049 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\pyplot.py:1740(xticks)
       50    0.000    0.000    0.096    0.002 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\artist.py:340(get_tightbbox)
     1983    0.020    0.000    0.090    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\artist.py:1046(update)
7055/6284    0.006    0.000    0.089    0.000 {built-in method builtins.next}
      590    0.002    0.000    0.086    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\patches.py:276(get_transform)
       12    0.000    0.000    0.084    0.007 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\axis.py:2073(_update_label_position)
     1166    0.002    0.000    0.083    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\artist.py:116(<lambda>)
     1166    0.003    0.000    0.080    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\artist.py:1159(set)
        1    0.000    0.000    0.075    0.075 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\image.py:1566(imsave)
      458    0.004    0.000    0.074    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\patches.py:747(get_patch_transform)
      258    0.010    0.000    0.073    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\lines.py:276(__init__)
     1042    0.006    0.000    0.072    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\text.py:162(update)
        5    0.017    0.003    0.071    0.014 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\font_manager.py:1311(_findfont_cached)
      408    0.008    0.000    0.070    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\lines.py:724(draw)
        1    0.000    0.000    0.067    0.067 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\pyplot.py:1800(yticks)
      223    0.003    0.000    0.066    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\text.py:115(__init__)
        4    0.000    0.000    0.065    0.016 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\legend.py:602(draw)
        1    0.000    0.000    0.064    0.064 C:\Users\anony\Balaba\venv\lib\site-packages\PIL\Image.py:2269(save)
        2    0.002    0.001    0.062    0.031 C:\Users\anony\Balaba\venv\lib\site-packages\xlsx2html\core.py:152(worksheet_to_data)
       33    0.000    0.000    0.062    0.002 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\patches.py:622(get_window_extent)
       57    0.002    0.000    0.062    0.001 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\path.py:596(get_extents)
        1    0.001    0.001    0.060    0.060 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\axes\_axes.py:2932(pie)
    24/16    0.000    0.000    0.059    0.004 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\axis.py:581(__get__)
       12    0.001    0.000    0.057    0.005 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\axes\_base.py:2955(_update_title_position)
     21/9    0.000    0.000    0.056    0.006 <frozen importlib._bootstrap>:1002(_find_and_load)
      968    0.005    0.000    0.056    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\transforms.py:1480(transform)
     21/9    0.000    0.000    0.055    0.006 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
3231/3044    0.004    0.000    0.054    0.000 C:\Users\anony\AppData\Local\Programs\Python\Python39\lib\contextlib.py:114(__enter__)
       35    0.000    0.000    0.054    0.002 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\axis.py:850(set_tick_params)
        1    0.001    0.001    0.053    0.053 C:\Users\anony\Balaba\statistics.py:456(set_style)
        2    0.000    0.000    0.052    0.026 C:\Users\anony\Balaba\venv\lib\site-packages\openpyxl\reader\excel.py:288(load_workbook)
        1    0.000    0.000    0.051    0.051 C:\Users\anony\Balaba\venv\lib\site-packages\openpyxl\workbook\workbook.py:394(save)
        1    0.000    0.000    0.051    0.051 C:\Users\anony\Balaba\venv\lib\site-packages\openpyxl\writer\excel.py:279(save_workbook)
