Fri Dec  9 10:56:02 2022    async

         1084106 function calls (1058191 primitive calls) in 43.945 seconds

   Ordered by: cumulative time, internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.080    0.020 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\axes\_base.py:1182(cla)
7089/6318    0.005    0.000    0.077    0.000 {built-in method builtins.next}
     1983    0.021    0.000    0.073    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\artist.py:1046(update)
        1    0.000    0.000    0.072    0.072 C:\Users\anony\AppData\Local\Programs\Python\Python39\lib\subprocess.py:1065(_stdin_write)
        4    0.072    0.018    0.072    0.018 {method 'write' of '_io.BufferedWriter' objects}
     1166    0.002    0.000    0.071    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\artist.py:116(<lambda>)
      590    0.002    0.000    0.070    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\patches.py:276(get_transform)
        2    0.000    0.000    0.069    0.035 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\pyplot.py:1740(xticks)
       12    0.000    0.000    0.069    0.006 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\axis.py:2073(_update_label_position)
     1166    0.003    0.000    0.069    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\artist.py:1159(set)
       50    0.000    0.000    0.068    0.001 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\artist.py:340(get_tightbbox)
      408    0.007    0.000    0.067    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\lines.py:724(draw)
      458    0.003    0.000    0.060    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\patches.py:747(get_patch_transform)
        2    0.002    0.001    0.059    0.029 C:\Users\anony\Balaba\venv\lib\site-packages\xlsx2html\core.py:152(worksheet_to_data)
        5    0.015    0.003    0.059    0.012 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\font_manager.py:1311(_findfont_cached)
        4    0.000    0.000    0.057    0.014 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\legend.py:602(draw)
        1    0.000    0.000    0.057    0.057 C:\Users\anony\AppData\Local\Programs\Python\Python39\lib\subprocess.py:756(__init__)
        1    0.000    0.000    0.056    0.056 C:\Users\anony\AppData\Local\Programs\Python\Python39\lib\subprocess.py:1334(_execute_child)
      258    0.008    0.000    0.055    0.000 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\lines.py:276(__init__)
        1    0.000    0.000    0.055    0.055 C:\Users\anony\Balaba\venv\lib\site-packages\matplotlib\image.py:1566(imsave)
