name,salary_from,salary_to,salary_currency,area_name,published_at
Менеджер по продукту,Москва,100000.0,,RUR,2022-12-01T11:19:11+0300
Строгальщик (г. Челябинск),Челябинск,105000.0,,RUR,2022-12-01T10:34:38+0300
Токарь (Пермь),Александровск (Пермский край),106000.0,126000.0,RUR,2022-12-01T07:40:26+0300
Инженер технической поддержки,Новосибирск,50000.0,,RUR,2022-12-01T11:12:22+0300
Механик по транспорту,Томск,80000.0,,RUR,2022-12-01T09:55:43+0300
Оператор электроэрозионного проволочно-вырезного станка,Новосибирск,60000.0,60000.0,RUR,2022-12-01T04:46:56+0300
Системный инженер,Москва,120000.0,120000.0,RUR,2022-12-01T11:54:02+0300
Оператор-наладчик,Санкт-Петербург,75000.0,80000.0,RUR,2022-12-01T11:31:02+0300
Инженер-программист,Екатеринбург,40000.0,65000.0,RUR,2022-12-01T08:13:00+0300
Токарь-расточник (г.Пермь),Краснодар,112000.0,140000.0,RUR,2022-12-01T08:26:45+0300
Мастер по ремонту печатного оборудования,Астана,200000.0,,KZT,2022-12-01T07:52:32+0300
Токарь (Пермь),Пашия,106000.0,126000.0,RUR,2022-12-01T07:40:26+0300
Токарь-расточник (г.Пермь),Иркутск,112000.0,140000.0,RUR,2022-12-01T08:26:45+0300
Бизнес - аналитик производственных процессов (проекты по консалтингу производственных предприятий),Новосибирск,150000.0,,RUR,2022-12-01T07:41:09+0300
Ведущий сетевой инженер в ЦОД,Красноярск,100000.0,170000.0,RUR,2022-12-01T11:46:54+0300
Токарь-расточник (г.Пермь),Пермь,112000.0,140000.0,RUR,2022-12-01T08:28:10+0300
Фрезеровщик,Уссурийск,50000.0,,RUR,2022-12-01T01:58:56+0300
Слесарь (Механик) по ремонту и обслуживанию дорожно-строительной техники,Химки,65000.0,,RUR,2022-12-01T11:55:06+0300
Программист Delphi,Иваново (Ивановская область),60000.0,,RUR,2022-12-01T09:17:00+0300
Техник лаборатории неразрушающего контроля,Пермь,100000.0,100000.0,RUR,2022-12-01T10:05:54+0300
Фрезеровщик (Пермь),Тюмень,106000.0,126000.0,RUR,2022-12-01T07:55:10+0300
Токарь (Пермь),Тюмень,106000.0,126000.0,RUR,2022-12-01T07:39:10+0300
Токарь (Пермь),Кизел,106000.0,126000.0,RUR,2022-12-01T07:40:26+0300
Токарь,Первоуральск,121000.0,127000.0,RUR,2022-12-01T11:43:56+0300
Шлифовщик,Новосибирск,70000.0,,RUR,2022-12-01T09:15:25+0300
Контент-менеджер,Астана,25000.0,50000.0,RUR,2022-12-01T00:05:58+0300
